FIPS_STATE,INSURANCE,FIPS_COUNTY,AGECAT2,AGECAT6,RACECAT,SEXCAT,DEMENTIACAT,atc,bene_cnt,inc_cnt,prev_cnt,covid_cnt,mort_cnt
01,,113,1,,,,,,10200,618,1830,168,309
01,,115,0,,,,,,3275,68,208,30,26
01,,115,1,,,,,,13778,929,2335,309,423
01,,117,0,,,,,,3836,75,232,30,24
01,,117,1,,,,,,21452,1025,3018,352,564
01,,119,0,,,,,,867,31,57,,
01,,119,1,,,,,,2223,151,411,,
01,,121,0,,,,,,5221,89,261,33,15
01,,121,1,,,,,,13942,698,2130,263,372
01,,123,0,,,,,,2595,44,142,20,13
01,,123,1,,,,,,8398,454,1505,253,279
01,,125,0,,,,,,8085,194,619,87,73
01,,125,1,,,,,,26730,1802,5146,728,903
01,,127,0,,,,,,4587,85,250,31,22
01,,127,1,,,,,,14680,807,2290,343,472
01,,129,0,,,,,,882,16,41,,
01,,129,1,,,,,,3217,214,556,,
01,,131,0,,,,,,962,16,36,,
01,,131,1,,,,,,2234,119,363,,
01,,133,0,,,,,,1318,15,56,,
01,,133,1,,,,,,5066,236,769,,
01,,1,0,0,,,,,2176,29,135,,12
01,,1,1,1,,,,,2338,61,182,,14
01,,1,1,2,,,,,2276,125,330,31,28
01,,1,1,3,,,,,1680,116,356,32,49
01,,1,1,4,,,,,1071,108,340,34,63
01,,1,1,5,,,,,904,136,425,64,101
01,,3,0,0,,,,,6935,183,532,52,45
01,,3,1,1,,,,,13217,280,797,71,55
01,,3,1,2,,,,,14360,462,1384,96,109
01,,3,1,3,,,,,9624,558,1653,129,173
01,,3,1,4,,,,,6015,518,1638,128,228
01,,3,1,5,,,,,4972,729,2253,224,552
01,,5,0,0,,,,,1267,18,70,,
01,,5,1,1,,,,,1222,26,80,,
01,,5,1,2,,,,,1327,42,128,15,20
01,,5,1,3,,,,,896,37,136,28,26
01,,5,1,4,,,,,510,30,115,15,33
01,,5,1,5,,,,,512,56,222,36,56
01,,7,0,0,,,,,1240,24,79,,
01,,7,1,1,,,,,1041,25,60,,
01,,7,1,2,,,,,1031,30,111,20,
01,,7,1,3,,,,,697,45,120,,22
01,,7,1,4,,,,,450,35,120,16,14
01,,7,1,5,,,,,357,64,173,27,41
01,,9,0,0,,,,,2042,48,113,,
01,,9,1,1,,,,,2250,46,128,,
01,,9,1,2,,,,,2325,92,220,32,31
01,,9,1,3,,,,,1690,108,305,40,37
01,,9,1,4,,,,,1019,99,283,43,55
01,,9,1,5,,,,,872,115,384,80,105
01,,11,0,0,,,,,358,,18,,
01,,11,1,1,,,,,313,,18,,
01,,11,1,2,,,,,271,,24,,
01,,11,1,3,,,,,233,15,42,,
01,,11,1,4,,,,,134,16,42,,
01,,11,1,5,,,,,164,17,67,,22
01,,13,0,0,,,,,1090,31,82,16,
01,,13,1,1,,,,,1111,25,73,14,
01,,13,1,2,,,,,984,39,119,15,16
01,,13,1,3,,,,,682,49,134,16,18
01,,13,1,4,,,,,444,50,157,21,22
01,,13,1,5,,,,,472,65,212,34,60
01,,15,0,0,,,,,6826,132,395,58,39
01,,15,1,1,,,,,6481,150,402,56,48
01,,15,1,2,,,,,6410,219,615,97,90
01,,15,1,3,,,,,4228,261,786,108,120
01,,15,1,4,,,,,2751,245,799,131,155
01,,15,1,5,,,,,2574,357,1126,218,314
01,,17,0,0,,,,,2192,47,164,24,
01,,17,1,1,,,,,2013,57,152,21,
01,,17,1,2,,,,,2078,83,245,34,28
01,,17,1,3,,,,,1354,82,286,30,53
01,,17,1,4,,,,,815,101,271,29,52
01,,17,1,5,,,,,757,121,391,61,130
01,,19,0,0,,,,,1358,20,65,,
01,,19,1,1,,,,,1359,27,75,11,
01,,19,1,2,,,,,1456,55,130,14,14
01,,19,1,3,,,,,981,52,149,,20
01,,19,1,4,,,,,614,58,132,11,33
01,,19,1,5,,,,,462,66,192,33,54
01,,21,0,0,,,,,1882,22,84,,11
01,,21,1,1,,,,,1925,36,81,,16
01,,21,1,2,,,,,1940,59,184,30,24
01,,21,1,3,,,,,1317,72,197,24,27
01,,21,1,4,,,,,803,70,200,36,39
01,,21,1,5,,,,,721,94,297,62,92
01,,23,0,0,,,,,847,23,72,,11
01,,23,1,1,,,,,767,34,84,,
01,,23,1,2,,,,,717,40,93,12,
01,,23,1,3,,,,,556,48,123,16,16
01,,23,1,4,,,,,343,27,108,,15
01,,23,1,5,,,,,293,45,153,21,33
01,,25,0,0,,,,,1793,40,101,,
01,,25,1,1,,,,,1393,40,97,,
01,,25,1,2,,,,,1336,61,158,19,19
01,,25,1,3,,,,,1015,76,194,21,31
01,,25,1,4,,,,,670,83,211,21,41
01,,25,1,5,,,,,633,101,316,29,88
01,,27,0,0,,,,,751,,39,,
01,,27,1,1,,,,,689,,32,,
01,,27,1,2,,,,,803,,65,14,
